onset	duration	trial_type	sub_type	electrodes_involved_onset	electrodes_involved_offset	offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	electrical_stimulation_frequency	electrical_stimulation_pulsewidth	notes
240.470703125	0.1982421875	artefact	n/a	all	all	240.6689453125	492484	492890	n/a	n/a	n/a	n/a	n/a	n/a
689.41259765625	0.89404296875	artefact	n/a	all	all	690.306640625	1411917	1413748	n/a	n/a	n/a	n/a	n/a	n/a
694.24755859375	0.96728515625	artefact	n/a	all	all	695.21484375	1421819	1423800	n/a	n/a	n/a	n/a	n/a	n/a
2029.537109375	63.29736328125	artefact	n/a	TML5,TML6	TML5,TML6	2092.83447265625	4156492	4286125	n/a	n/a	n/a	n/a	n/a	n/a
2092.85107421875	58.79345703125	artefact	n/a	TML6	TML6	2151.64453125	4286159	4406568	n/a	n/a	n/a	n/a	n/a	n/a
2439.87646484375	0.27099609375	artefact	n/a	all	all	2440.1474609375	4996867	4997422	n/a	n/a	n/a	n/a	n/a	n/a
2833.673828125	1.65185546875	artefact	n/a	all	all	2835.32568359375	5803364	5806747	n/a	n/a	n/a	n/a	n/a	n/a
175.2392578125	2807.4453125	stimulation	SPESclin	all	all	2982.6845703125	358890	6108538	n/a	n/a	n/a	n/a	n/a	n/a
175.57958984375	0.001	electrical_stimulation	SPESclin	n/a	n/a	175.58058984375	359587	359589.048	monophasic	AR1-AR2	0.001	0.2	0.001	n/a
180.57958984375	0.001	electrical_stimulation	SPESclin	n/a	n/a	180.58058984375	369827	369829.048	monophasic	AR1-AR2	0.001	0.2	0.001	n/a
185.5791015625	0.001	electrical_stimulation	SPESclin	n/a	n/a	185.5801015625	380066	380068.048	monophasic	AR1-AR2	0.001	0.2	0.001	n/a
190.57861328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	190.57961328125	390305	390307.048	monophasic	AR1-AR2	0.001	0.2	0.001	n/a
195.578125	0.001	electrical_stimulation	SPESclin	n/a	n/a	195.579125	400544	400546.048	monophasic	AR1-AR2	0.001	0.2	0.001	n/a
207.31884765625	0.001	electrical_stimulation	SPESclin	n/a	n/a	207.31984765625	424589	424591.048	monophasic	AR2-AR1	0.001	0.2	0.001	n/a
212.318359375	0.001	electrical_stimulation	SPESclin	n/a	n/a	212.319359375	434828	434830.048	monophasic	AR2-AR1	0.001	0.2	0.001	n/a
217.31787109375	0.001	electrical_stimulation	SPESclin	n/a	n/a	217.31887109375	445067	445069.048	monophasic	AR2-AR1	0.001	0.2	0.001	n/a
222.3173828125	0.001	electrical_stimulation	SPESclin	n/a	n/a	222.3183828125	455306	455308.048	monophasic	AR2-AR1	0.001	0.2	0.001	n/a
227.31689453125	0.001	electrical_stimulation	SPESclin	n/a	n/a	227.31789453125	465545	465547.048	monophasic	AR2-AR1	0.001	0.2	0.001	n/a
239.109375	0.001	electrical_stimulation	SPESclin	n/a	n/a	239.110375	489696	489698.048	monophasic	AR2-AR3	0.001	0.2	0.001	n/a
244.10888671875	0.001	electrical_stimulation	SPESclin	n/a	n/a	244.10988671875	499935	499937.048	monophasic	AR2-AR3	0.001	0.2	0.001	n/a
