name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description
AR1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AR2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AR3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AR4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AR5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AR6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AR7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AR8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AR9	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AR10	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
AHR1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHR2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHR3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHR4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHR5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHR6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHR7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHR8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHR9	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
AHR10	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
PHR1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHR2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHR3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHR4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHR5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHR6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHR7	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	noisy (visual assessment)
PHR8	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
AH+	OTHER	µV	468	0.15	AH-	other	2048	n/a	bad	not recording
ECG+	ECG	µV	468	0.15	ECG-	other	2048	n/a	good	not included
ORB+	EOG	µV	468	0.15	ORB-	other	2048	n/a	good	not included
EMG+	EMG	µV	468	0.15	EMG-	other	2048	n/a	good	not included
GPR1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GPR2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GPR3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GPR4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GPR5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GPR6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GPR7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GPR8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GPR9	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
GPR10	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
QHR1	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
QHR2	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
QHR3	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
QHR4	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
QHR5	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
QHR6	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
QHR7	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
QHR8	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
QHR9	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
QHR10	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
XPR1	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
XPR2	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
XPR3	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
XPR4	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
XPR5	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
XPR6	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
XPR7	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
XPR8	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
XPR9	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
XPR10	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
XPR11	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
XPR12	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
MKR1+	TRIG	µV	468	0.15	MKR1-	other	2048	n/a	good	not included
AL1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AL2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AL3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AL4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AL5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AL6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
