onset	duration	trial_type	sub_type	electrodes_involved_onset	electrodes_involved_offset	offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	electrical_stimulation_frequency	electrical_stimulation_pulsewidth	notes
0.12451171875	1.830078125	artefact	n/a	all	all	1.95458984375	255	4003	n/a	n/a	n/a	n/a	n/a	n/a
43.2783203125	19.02734375	artefact	n/a	all	all	62.3056640625	88634	127602	n/a	n/a	n/a	n/a	n/a	n/a
72.2509765625	6.93994140625	artefact	n/a	all	all	79.19091796875	147970	162183	n/a	n/a	n/a	n/a	n/a	n/a
82.6884765625	11.2568359375	artefact	n/a	all	all	93.9453125	169346	192400	n/a	n/a	n/a	n/a	n/a	n/a
95.7060546875	9.80810546875	artefact	n/a	all	all	105.51416015625	196006	216093	n/a	n/a	n/a	n/a	n/a	n/a
110.01220703125	8.78466796875	artefact	n/a	all	all	118.796875	225305	243296	n/a	n/a	n/a	n/a	n/a	n/a
122.19873046875	3.5673828125	artefact	n/a	all	all	125.76611328125	250263	257569	n/a	n/a	n/a	n/a	n/a	n/a
128.21484375	5.57568359375	artefact	n/a	all	all	133.79052734375	262584	274003	n/a	n/a	n/a	n/a	n/a	n/a
135.53857421875	35.67041015625	artefact	n/a	all	all	171.208984375	277583	350636	n/a	n/a	n/a	n/a	n/a	n/a
173.14501953125	24.0537109375	artefact	n/a	all	all	197.19873046875	354601	403863	n/a	n/a	n/a	n/a	n/a	n/a
224.57373046875	23.06591796875	artefact	n/a	all	all	247.6396484375	459927	507166	n/a	n/a	n/a	n/a	n/a	n/a
254.76220703125	20.18408203125	artefact	n/a	all	all	274.9462890625	521753	563090	n/a	n/a	n/a	n/a	n/a	n/a
281.69189453125	4.033203125	artefact	n/a	all	all	285.72509765625	576905	585165	n/a	n/a	n/a	n/a	n/a	n/a
295.62060546875	0.6826171875	artefact	n/a	all	all	296.30322265625	605431	606829	n/a	n/a	n/a	n/a	n/a	n/a
317.36376953125	4.64697265625	artefact	n/a	all	all	322.0107421875	649961	659478	n/a	n/a	n/a	n/a	n/a	n/a
324.10986328125	4.5751953125	artefact	n/a	all	all	328.68505859375	663777	673147	n/a	n/a	n/a	n/a	n/a	n/a
331.29345703125	5.05419921875	artefact	n/a	all	all	336.34765625	678489	688840	n/a	n/a	n/a	n/a	n/a	n/a
603.73095703125	0.845703125	artefact	n/a	all	all	604.57666015625	1236441	1238173	n/a	n/a	n/a	n/a	n/a	n/a
606.9814453125	0.9580078125	artefact	n/a	all	all	607.939453125	1243098	1245060	n/a	n/a	n/a	n/a	n/a	n/a
643.9990234375	2.94482421875	artefact	n/a	all	all	646.94384765625	1318910	1324941	n/a	n/a	n/a	n/a	n/a	n/a
648.1904296875	1.208984375	artefact	n/a	all	all	649.3994140625	1327494	1329970	n/a	n/a	n/a	n/a	n/a	n/a
726.6337890625	21.06103515625	artefact	n/a	all	all	747.69482421875	1488146	1531279	n/a	n/a	n/a	n/a	n/a	n/a
774.75732421875	1.6708984375	artefact	n/a	all	all	776.42822265625	1586703	1590125	n/a	n/a	n/a	n/a	n/a	n/a
912.33251953125	0.41796875	artefact	n/a	all	all	912.75048828125	1868457	1869313	n/a	n/a	n/a	n/a	n/a	n/a
1056.1533203125	4.5244140625	artefact	n/a	all	all	1060.677734375	2163002	2172268	n/a	n/a	n/a	n/a	n/a	n/a
1062.02197265625	6.328125	artefact	n/a	all	all	1068.35009765625	2175021	2187981	n/a	n/a	n/a	n/a	n/a	n/a
1080.9951171875	9.17041015625	artefact	n/a	all	all	1090.16552734375	2213878	2232659	n/a	n/a	n/a	n/a	n/a	n/a
1092.9560546875	3.23046875	artefact	n/a	all	all	1096.1865234375	2238374	2244990	n/a	n/a	n/a	n/a	n/a	n/a
1099.1826171875	2.51708984375	artefact	n/a	all	all	1101.69970703125	2251126	2256281	n/a	n/a	n/a	n/a	n/a	n/a
1108.69384765625	2.828125	artefact	n/a	all	all	1111.52197265625	2270605	2276397	n/a	n/a	n/a	n/a	n/a	n/a
1123.34130859375	1.19091796875	artefact	n/a	all	all	1124.5322265625	2300603	2303042	n/a	n/a	n/a	n/a	n/a	n/a
1129.06787109375	1.18212890625	artefact	n/a	all	all	1130.25	2312331	2314752	n/a	n/a	n/a	n/a	n/a	n/a
1133.00048828125	1.58984375	artefact	n/a	all	all	1134.59033203125	2320385	2323641	n/a	n/a	n/a	n/a	n/a	n/a
1153.27685546875	2.1806640625	artefact	n/a	all	all	1155.45751953125	2361911	2366377	n/a	n/a	n/a	n/a	n/a	n/a
1165.3203125	6.7666015625	artefact	n/a	all	all	1172.0869140625	2386576	2400434	n/a	n/a	n/a	n/a	n/a	n/a
1179.0869140625	2.12939453125	artefact	n/a	all	all	1181.21630859375	2414770	2419131	n/a	n/a	n/a	n/a	n/a	n/a
1211.6103515625	10.73974609375	artefact	n/a	all	all	1222.35009765625	2481378	2503373	n/a	n/a	n/a	n/a	n/a	n/a
1226.7001953125	1.2841796875	artefact	n/a	all	all	1227.984375	2512282	2514912	n/a	n/a	n/a	n/a	n/a	n/a
1235.015625	2.92431640625	artefact	n/a	all	all	1237.93994140625	2529312	2535301	n/a	n/a	n/a	n/a	n/a	n/a
1240.802734375	2.28271484375	artefact	n/a	all	all	1243.08544921875	2541164	2545839	n/a	n/a	n/a	n/a	n/a	n/a
1244.20751953125	0.23046875	artefact	n/a	all	all	1244.43798828125	2548137	2548609	n/a	n/a	n/a	n/a	n/a	n/a
1284.9931640625	7.12255859375	artefact	n/a	all	all	1292.11572265625	2631666	2646253	n/a	n/a	n/a	n/a	n/a	n/a
1324.6806640625	2.2822265625	artefact	n/a	all	all	1326.962890625	2712946	2717620	n/a	n/a	n/a	n/a	n/a	n/a
1361.462890625	1.11083984375	artefact	n/a	all	all	1362.57373046875	2788276	2790551	n/a	n/a	n/a	n/a	n/a	n/a
1449.19287109375	0.56005859375	artefact	n/a	all	all	1449.7529296875	2967947	2969094	n/a	n/a	n/a	n/a	n/a	n/a
1545.6435546875	18.05029296875	artefact	n/a	all	all	1563.69384765625	3165478	3202445	n/a	n/a	n/a	n/a	n/a	n/a
1569.1201171875	6.9794921875	artefact	n/a	all	all	1576.099609375	3213558	3227852	n/a	n/a	n/a	n/a	n/a	n/a
1581.80908203125	0.611328125	artefact	n/a	all	all	1582.42041015625	3239545	3240797	n/a	n/a	n/a	n/a	n/a	n/a
1584.111328125	1.01904296875	artefact	n/a	all	all	1585.13037109375	3244260	3246347	n/a	n/a	n/a	n/a	n/a	n/a
1604.99853515625	0.24462890625	artefact	n/a	all	all	1605.2431640625	3287037	3287538	n/a	n/a	n/a	n/a	n/a	n/a
1652.4296875	1.03955078125	artefact	n/a	all	all	1653.46923828125	3384176	3386305	n/a	n/a	n/a	n/a	n/a	n/a
1658.818359375	1.6201171875	artefact	n/a	all	all	1660.4384765625	3397260	3400578	n/a	n/a	n/a	n/a	n/a	n/a
1880.087890625	1.1005859375	artefact	n/a	all	all	1881.1884765625	3850420	3852674	n/a	n/a	n/a	n/a	n/a	n/a
1884.3671875	2.60888671875	artefact	n/a	all	all	1886.97607421875	3859184	3864527	n/a	n/a	n/a	n/a	n/a	n/a
1888.861328125	0.72314453125	artefact	n/a	all	all	1889.58447265625	3868388	3869869	n/a	n/a	n/a	n/a	n/a	n/a
1891.42822265625	1.447265625	artefact	n/a	all	all	1892.87548828125	3873645	3876609	n/a	n/a	n/a	n/a	n/a	n/a
1895.23974609375	0.45849609375	artefact	n/a	all	all	1895.6982421875	3881451	3882390	n/a	n/a	n/a	n/a	n/a	n/a
1902.54541015625	1.53857421875	artefact	n/a	all	all	1904.083984375	3896413	3899564	n/a	n/a	n/a	n/a	n/a	n/a
1961.32666015625	1.11083984375	artefact	n/a	all	all	1962.4375	4016797	4019072	n/a	n/a	n/a	n/a	n/a	n/a
2154.73828125	1.51806640625	artefact	n/a	all	all	2156.25634765625	4412904	4416013	n/a	n/a	n/a	n/a	n/a	n/a
2209.2607421875	1.8125	artefact	n/a	all	all	2211.0732421875	4524566	4528278	n/a	n/a	n/a	n/a	n/a	n/a
2211.99169921875	1.1513671875	artefact	n/a	all	all	2213.14306640625	4530159	4532517	n/a	n/a	n/a	n/a	n/a	n/a
2222.39453125	1.39599609375	artefact	n/a	all	all	2223.79052734375	4551464	4554323	n/a	n/a	n/a	n/a	n/a	n/a
2319.33447265625	0.28564453125	artefact	n/a	all	all	2319.6201171875	4749997	4750582	n/a	n/a	n/a	n/a	n/a	n/a
2321.88232421875	1.01904296875	artefact	n/a	all	all	2322.9013671875	4755215	4757302	n/a	n/a	n/a	n/a	n/a	n/a
2439.099609375	2.95458984375	artefact	n/a	all	all	2442.05419921875	4995276	5001327	n/a	n/a	n/a	n/a	n/a	n/a
2443.25634765625	2.92138671875	artefact	n/a	all	all	2446.177734375	5003789	5009772	n/a	n/a	n/a	n/a	n/a	n/a
2462.42236328125	0.18359375	artefact	n/a	all	all	2462.60595703125	5043041	5043417	n/a	n/a	n/a	n/a	n/a	n/a
2480.93603515625	7.6630859375	artefact	n/a	all	all	2488.59912109375	5080957	5096651	n/a	n/a	n/a	n/a	n/a	n/a
2491.95068359375	5.7373046875	artefact	n/a	all	all	2497.68798828125	5103515	5115265	n/a	n/a	n/a	n/a	n/a	n/a
2518.4326171875	7.5302734375	artefact	n/a	all	all	2525.962890625	5157750	5173172	n/a	n/a	n/a	n/a	n/a	n/a
407.98486328125	2067.75634765625	stimulation	SPESclin	all	all	2475.7412109375	835553	5070318	n/a	n/a	n/a	n/a	n/a	n/a
408.47314453125	0.001	electrical_stimulation	SPESclin	n/a	n/a	408.47414453125	836553	836555.048	monophasic	MIL1-MIL2	0.002	0.2	0.001	n/a
413.47314453125	0.001	electrical_stimulation	SPESclin	n/a	n/a	413.47414453125	846793	846795.048	monophasic	MIL1-MIL2	0.002	0.2	0.001	n/a
418.47265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	418.47365625	857032	857034.048	monophasic	MIL1-MIL2	0.002	0.2	0.001	n/a
423.47216796875	0.001	electrical_stimulation	SPESclin	n/a	n/a	423.47316796875	867271	867273.048	monophasic	MIL1-MIL2	0.002	0.2	0.001	n/a
428.4716796875	0.001	electrical_stimulation	SPESclin	n/a	n/a	428.4726796875	877510	877512.048	monophasic	MIL1-MIL2	0.002	0.2	0.001	n/a
434.22119140625	0.001	electrical_stimulation	SPESclin	n/a	n/a	434.22219140625	889285	889287.048	monophasic	MIL2-MIL1	0.002	0.2	0.001	n/a
439.220703125	0.001	electrical_stimulation	SPESclin	n/a	n/a	439.221703125	899524	899526.048	monophasic	MIL2-MIL1	0.002	0.2	0.001	n/a
444.220703125	0.001	electrical_stimulation	SPESclin	n/a	n/a	444.221703125	909764	909766.048	monophasic	MIL2-MIL1	0.002	0.2	0.001	n/a
449.22021484375	0.001	electrical_stimulation	SPESclin	n/a	n/a	449.22121484375	920003	920005.048	monophasic	MIL2-MIL1	0.002	0.2	0.001	n/a
454.2197265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	454.2207265625	930242	930244.048	monophasic	MIL2-MIL1	0.002	0.2	0.001	n/a
465.95458984375	0.001	electrical_stimulation	SPESclin	n/a	n/a	465.95558984375	954275	954277.048	monophasic	MIL2-MIL3	0.002	0.2	0.001	n/a
470.9541015625	0.001	electrical_stimulation	SPESclin	n/a	n/a	470.9551015625	964514	964516.048	monophasic	MIL2-MIL3	0.002	0.2	0.001	n/a
475.9541015625	0.001	electrical_stimulation	SPESclin	n/a	n/a	475.9551015625	974754	974756.048	monophasic	MIL2-MIL3	0.002	0.2	0.001	n/a
480.95361328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	480.95461328125	984993	984995.048	monophasic	MIL2-MIL3	0.002	0.2	0.001	n/a
485.953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	485.954125	995232	995234.048	monophasic	MIL2-MIL3	0.002	0.2	0.001	n/a
