onset	duration	trial_type	sub_type	electrodes_involved_onset	electrodes_involved_offset	offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	electrical_stimulation_frequency	electrical_stimulation_pulsewidth	notes
23.95849609375	0.7353515625	artefact	n/a	all	all	24.69384765625	49067	50573	n/a	n/a	n/a	n/a	n/a	n/a
33.2392578125	0.48779296875	artefact	n/a	all	all	33.72705078125	68074	69073	n/a	n/a	n/a	n/a	n/a	n/a
99.95849609375	0.70263671875	artefact	n/a	all	all	100.6611328125	204715	206154	n/a	n/a	n/a	n/a	n/a	n/a
114.33837890625	0.5458984375	artefact	n/a	all	all	114.88427734375	234165	235283	n/a	n/a	n/a	n/a	n/a	n/a
483.1484375	0.31396484375	artefact	n/a	all	all	483.46240234375	989488	990131	n/a	n/a	n/a	n/a	n/a	n/a
608.31396484375	0.24755859375	artefact	n/a	all	all	608.5615234375	1245827	1246334	n/a	n/a	n/a	n/a	n/a	n/a
644.01611328125	0.140625	artefact	n/a	all	all	644.15673828125	1318945	1319233	n/a	n/a	n/a	n/a	n/a	n/a
645.71044921875	0.2646484375	artefact	n/a	all	all	645.97509765625	1322415	1322957	n/a	n/a	n/a	n/a	n/a	n/a
812.92529296875	0.8515625	artefact	n/a	all	all	813.77685546875	1664871	1666615	n/a	n/a	n/a	n/a	n/a	n/a
838	0.2724609375	artefact	n/a	all	all	838.2724609375	1716224	1716782	n/a	n/a	n/a	n/a	n/a	n/a
849.77685546875	4.47900390625	artefact	n/a	all	all	854.255859375	1740343	1749516	n/a	n/a	n/a	n/a	n/a	n/a
856.578125	5.59521484375	artefact	n/a	all	all	862.17333984375	1754272	1765731	n/a	n/a	n/a	n/a	n/a	n/a
864.67724609375	4.56201171875	artefact	n/a	all	all	869.2392578125	1770859	1780202	n/a	n/a	n/a	n/a	n/a	n/a
869.95849609375	11.11572265625	artefact	n/a	all	all	881.07421875	1781675	1804440	n/a	n/a	n/a	n/a	n/a	n/a
883.0078125	0.6533203125	artefact	n/a	all	all	883.6611328125	1808400	1809738	n/a	n/a	n/a	n/a	n/a	n/a
900.15673828125	7.677734375	artefact	n/a	all	all	907.83447265625	1843521	1859245	n/a	n/a	n/a	n/a	n/a	n/a
943.537109375	3.8759765625	artefact	n/a	all	all	947.4130859375	1932364	1940302	n/a	n/a	n/a	n/a	n/a	n/a
949.5615234375	4.892578125	artefact	n/a	all	all	954.4541015625	1944702	1954722	n/a	n/a	n/a	n/a	n/a	n/a
1016.50390625	0.81005859375	artefact	n/a	all	all	1017.31396484375	2081800	2083459	n/a	n/a	n/a	n/a	n/a	n/a
1030.51220703125	2.9501953125	artefact	n/a	all	all	1033.46240234375	2110489	2116531	n/a	n/a	n/a	n/a	n/a	n/a
1036.4873046875	1.91748046875	artefact	n/a	all	all	1038.40478515625	2122726	2126653	n/a	n/a	n/a	n/a	n/a	n/a
1139.7685546875	0.1650390625	artefact	n/a	all	all	1139.93359375	2334246	2334584	n/a	n/a	n/a	n/a	n/a	n/a
7.4208984375	1232.81591796875	stimulation	SPESclin	all	all	1240.23681640625	15198	2540005	n/a	n/a	n/a	n/a	n/a	n/a
10.4521484375	0.001	electrical_stimulation	SPESclin	n/a	n/a	10.4531484375	21406	21408.048	monophasic	AIR1-AIR2	0.001	0.2	0.001	n/a
15.4521484375	0.001	electrical_stimulation	SPESclin	n/a	n/a	15.4531484375	31646	31648.048	monophasic	AIR1-AIR2	0.001	0.2	0.001	n/a
20.4521484375	0.001	electrical_stimulation	SPESclin	n/a	n/a	20.4531484375	41886	41888.048	monophasic	AIR1-AIR2	0.001	0.2	0.001	n/a
25.4521484375	0.001	electrical_stimulation	SPESclin	n/a	n/a	25.4531484375	52126	52128.048	monophasic	AIR1-AIR2	0.001	0.2	0.001	n/a
30.4521484375	0.001	electrical_stimulation	SPESclin	n/a	n/a	30.4531484375	62366	62368.048	monophasic	AIR1-AIR2	0.001	0.2	0.001	n/a
35.9853515625	0.001	electrical_stimulation	SPESclin	n/a	n/a	35.9863515625	73698	73700.048	monophasic	AIR2-AIR1	0.001	0.2	0.001	n/a
40.9853515625	0.001	electrical_stimulation	SPESclin	n/a	n/a	40.9863515625	83938	83940.048	monophasic	AIR2-AIR1	0.001	0.2	0.001	n/a
45.9853515625	0.001	electrical_stimulation	SPESclin	n/a	n/a	45.9863515625	94178	94180.048	monophasic	AIR2-AIR1	0.001	0.2	0.001	n/a
50.9853515625	0.001	electrical_stimulation	SPESclin	n/a	n/a	50.9863515625	104418	104420.048	monophasic	AIR2-AIR1	0.001	0.2	0.001	n/a
55.9853515625	0.001	electrical_stimulation	SPESclin	n/a	n/a	55.9863515625	114658	114660.048	monophasic	AIR2-AIR1	0.001	0.2	0.001	n/a
67.70361328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	67.70461328125	138657	138659.048	monophasic	AIR2-AIR3	0.001	0.2	0.001	n/a
72.70361328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	72.70461328125	148897	148899.048	monophasic	AIR2-AIR3	0.001	0.2	0.001	n/a
77.70361328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	77.70461328125	159137	159139.048	monophasic	AIR2-AIR3	0.001	0.2	0.001	n/a
82.70361328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	82.70461328125	169377	169379.048	monophasic	AIR2-AIR3	0.001	0.2	0.001	n/a
87.70361328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	87.70461328125	179617	179619.048	monophasic	AIR2-AIR3	0.001	0.2	0.001	n/a
93.4541015625	0.001	electrical_stimulation	SPESclin	n/a	n/a	93.4551015625	191394	191396.048	monophasic	AIR3-AIR2	0.001	0.2	0.001	n/a
98.4541015625	0.001	electrical_stimulation	SPESclin	n/a	n/a	98.4551015625	201634	201636.048	monophasic	AIR3-AIR2	0.001	0.2	0.001	n/a
103.4541015625	0.001	electrical_stimulation	SPESclin	n/a	n/a	103.4551015625	211874	211876.048	monophasic	AIR3-AIR2	0.001	0.2	0.001	n/a
108.4541015625	0.001	electrical_stimulation	SPESclin	n/a	n/a	108.4551015625	222114	222116.048	monophasic	AIR3-AIR2	0.001	0.2	0.001	n/a
113.4541015625	0.001	electrical_stimulation	SPESclin	n/a	n/a	113.4551015625	232354	232356.048	monophasic	AIR3-AIR2	0.001	0.2	0.001	n/a
125.20361328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	125.20461328125	256417	256419.048	monophasic	AIR3-AIR4	0.001	0.2	0.001	n/a
130.20361328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	130.20461328125	266657	266659.048	monophasic	AIR3-AIR4	0.001	0.2	0.001	n/a
135.20361328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	135.20461328125	276897	276899.048	monophasic	AIR3-AIR4	0.001	0.2	0.001	n/a
140.20361328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	140.20461328125	287137	287139.048	monophasic	AIR3-AIR4	0.001	0.2	0.001	n/a
145.20361328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	145.20461328125	297377	297379.048	monophasic	AIR3-AIR4	0.001	0.2	0.001	n/a
150.9541015625	0.001	electrical_stimulation	SPESclin	n/a	n/a	150.9551015625	309154	309156.048	monophasic	AIR4-AIR3	0.001	0.2	0.001	n/a
155.9541015625	0.001	electrical_stimulation	SPESclin	n/a	n/a	155.9551015625	319394	319396.048	monophasic	AIR4-AIR3	0.001	0.2	0.001	n/a
160.9541015625	0.001	electrical_stimulation	SPESclin	n/a	n/a	160.9551015625	329634	329636.048	monophasic	AIR4-AIR3	0.001	0.2	0.001	n/a
165.9541015625	0.001	electrical_stimulation	SPESclin	n/a	n/a	165.9551015625	339874	339876.048	monophasic	AIR4-AIR3	0.001	0.2	0.001	n/a
170.9541015625	0.001	electrical_stimulation	SPESclin	n/a	n/a	170.9551015625	350114	350116.048	monophasic	AIR4-AIR3	0.001	0.2	0.001	n/a
182.6552734375	0.001	electrical_stimulation	SPESclin	n/a	n/a	182.6562734375	374078	374080.048	monophasic	AIR4-AIR5	0.001	0.2	0.001	n/a
187.6552734375	0.001	electrical_stimulation	SPESclin	n/a	n/a	187.6562734375	384318	384320.048	monophasic	AIR4-AIR5	0.001	0.2	0.001	n/a
192.6552734375	0.001	electrical_stimulation	SPESclin	n/a	n/a	192.6562734375	394558	394560.048	monophasic	AIR4-AIR5	0.001	0.2	0.001	n/a
197.6552734375	0.001	electrical_stimulation	SPESclin	n/a	n/a	197.6562734375	404798	404800.048	monophasic	AIR4-AIR5	0.001	0.2	0.001	n/a
202.6552734375	0.001	electrical_stimulation	SPESclin	n/a	n/a	202.6562734375	415038	415040.048	monophasic	AIR4-AIR5	0.001	0.2	0.001	n/a
208.46337890625	0.001	electrical_stimulation	SPESclin	n/a	n/a	208.46437890625	426933	426935.048	monophasic	AIR5-AIR4	0.001	0.2	0.001	n/a
213.46337890625	0.001	electrical_stimulation	SPESclin	n/a	n/a	213.46437890625	437173	437175.048	monophasic	AIR5-AIR4	0.001	0.2	0.001	n/a
218.46337890625	0.001	electrical_stimulation	SPESclin	n/a	n/a	218.46437890625	447413	447415.048	monophasic	AIR5-AIR4	0.001	0.2	0.001	n/a
223.46337890625	0.001	electrical_stimulation	SPESclin	n/a	n/a	223.46437890625	457653	457655.048	monophasic	AIR5-AIR4	0.001	0.2	0.001	n/a
228.46337890625	0.001	electrical_stimulation	SPESclin	n/a	n/a	228.46437890625	467893	467895.048	monophasic	AIR5-AIR4	0.001	0.2	0.001	n/a
240.42138671875	0.001	electrical_stimulation	SPESclin	n/a	n/a	240.42238671875	492383	492385.048	monophasic	IPR1-IPR2	0.001	0.2	0.001	Current is lower than requested
245.42138671875	0.001	electrical_stimulation	SPESclin	n/a	n/a	245.42238671875	502623	502625.048	monophasic	IPR1-IPR2	0.001	0.2	0.001	Current is lower than requested
250.42138671875	0.001	electrical_stimulation	SPESclin	n/a	n/a	250.42238671875	512863	512865.048	monophasic	IPR1-IPR2	0.001	0.2	0.001	Current is lower than requested
255.42138671875	0.001	electrical_stimulation	SPESclin	n/a	n/a	255.42238671875	523103	523105.048	monophasic	IPR1-IPR2	0.001	0.2	0.001	Current is lower than requested
260.42138671875	0.001	electrical_stimulation	SPESclin	n/a	n/a	260.42238671875	533343	533345.048	monophasic	IPR1-IPR2	0.001	0.2	0.001	Current is lower than requested
265.9140625	0.001	electrical_stimulation	SPESclin	n/a	n/a	265.9150625	544592	544594.048	monophasic	IPR2-IPR1	0.001	0.2	0.001	Current is lower than requested
270.9140625	0.001	electrical_stimulation	SPESclin	n/a	n/a	270.9150625	554832	554834.048	monophasic	IPR2-IPR1	0.001	0.2	0.001	Current is lower than requested
