onset	duration	trial_type	sub_type	electrodes_involved_onset	electrodes_involved_offset	offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	electrical_stimulation_frequency	electrical_stimulation_pulsewidth	notes
82.65283203125	0.24755859375	artefact	n/a	all	all	82.900390625	169273	169780	n/a	n/a	n/a	n/a	n/a	n/a
190.78466796875	0.248046875	artefact	n/a	all	all	191.03271484375	390727	391235	n/a	n/a	n/a	n/a	n/a	n/a
256.8427734375	1.09912109375	artefact	n/a	all	all	257.94189453125	526014	528265	n/a	n/a	n/a	n/a	n/a	n/a
400.42138671875	2.77685546875	artefact	n/a	all	all	403.1982421875	820063	825750	n/a	n/a	n/a	n/a	n/a	n/a
417.90869140625	0.28125	artefact	n/a	all	all	418.18994140625	855877	856453	n/a	n/a	n/a	n/a	n/a	n/a
831.60302734375	0.29736328125	artefact	n/a	all	all	831.900390625	1703123	1703732	n/a	n/a	n/a	n/a	n/a	n/a
841.0244140625	0.1572265625	artefact	n/a	all	all	841.181640625	1722418	1722740	n/a	n/a	n/a	n/a	n/a	n/a
994.97509765625	0.49560546875	artefact	n/a	all	all	995.470703125	2037709	2038724	n/a	n/a	n/a	n/a	n/a	n/a
1009.78466796875	1.7109375	artefact	n/a	all	all	1011.49560546875	2068039	2071543	n/a	n/a	n/a	n/a	n/a	n/a
1075.85107421875	2.1982421875	artefact	n/a	all	all	1078.04931640625	2203343	2207845	n/a	n/a	n/a	n/a	n/a	n/a
1080.49560546875	0.97509765625	artefact	n/a	all	all	1081.470703125	2212855	2214852	n/a	n/a	n/a	n/a	n/a	n/a
1087.181640625	2.02490234375	artefact	n/a	all	all	1089.20654296875	2226548	2230695	n/a	n/a	n/a	n/a	n/a	n/a
1091.4873046875	3.65283203125	artefact	n/a	all	all	1095.14013671875	2235366	2242847	n/a	n/a	n/a	n/a	n/a	n/a
1152.2890625	0.33056640625	artefact	n/a	all	all	1152.61962890625	2359888	2360565	n/a	n/a	n/a	n/a	n/a	n/a
1226.01611328125	0.21484375	artefact	n/a	all	all	1226.23095703125	2510881	2511321	n/a	n/a	n/a	n/a	n/a	n/a
1364.72705078125	0.14892578125	artefact	n/a	all	all	1364.8759765625	2794961	2795266	n/a	n/a	n/a	n/a	n/a	n/a
1404.0908203125	0.23974609375	artefact	n/a	all	all	1404.33056640625	2875578	2876069	n/a	n/a	n/a	n/a	n/a	n/a
1666.78466796875	0.34716796875	artefact	n/a	all	all	1667.1318359375	3413575	3414286	n/a	n/a	n/a	n/a	n/a	n/a
1682.67724609375	1.677734375	artefact	n/a	all	all	1684.35498046875	3446123	3449559	n/a	n/a	n/a	n/a	n/a	n/a
1715.107421875	0.22314453125	artefact	n/a	all	all	1715.33056640625	3512540	3512997	n/a	n/a	n/a	n/a	n/a	n/a
1795.56982421875	0.2314453125	artefact	n/a	all	all	1795.80126953125	3677327	3677801	n/a	n/a	n/a	n/a	n/a	n/a
1804.80126953125	0.28955078125	artefact	n/a	all	all	1805.0908203125	3696233	3696826	n/a	n/a	n/a	n/a	n/a	n/a
1811.54541015625	0.4873046875	artefact	n/a	all	all	1812.03271484375	3710045	3711043	n/a	n/a	n/a	n/a	n/a	n/a
1815.86767578125	0.2314453125	artefact	n/a	all	all	1816.09912109375	3718897	3719371	n/a	n/a	n/a	n/a	n/a	n/a
1838.29736328125	0.23974609375	artefact	n/a	all	all	1838.537109375	3764833	3765324	n/a	n/a	n/a	n/a	n/a	n/a
1843.85107421875	0.25634765625	artefact	n/a	all	all	1844.107421875	3776207	3776732	n/a	n/a	n/a	n/a	n/a	n/a
1934.0908203125	0.29736328125	artefact	n/a	all	all	1934.38818359375	3961018	3961627	n/a	n/a	n/a	n/a	n/a	n/a
1954.685546875	0.20654296875	artefact	n/a	all	all	1954.89208984375	4003196	4003619	n/a	n/a	n/a	n/a	n/a	n/a
1969.90869140625	0.2646484375	artefact	n/a	all	all	1970.17333984375	4034373	4034915	n/a	n/a	n/a	n/a	n/a	n/a
1978.50390625	0.18994140625	artefact	n/a	all	all	1978.69384765625	4051976	4052365	n/a	n/a	n/a	n/a	n/a	n/a
1992.01611328125	0.1572265625	artefact	n/a	all	all	1992.17333984375	4079649	4079971	n/a	n/a	n/a	n/a	n/a	n/a
2003.2890625	0.20654296875	artefact	n/a	all	all	2003.49560546875	4102736	4103159	n/a	n/a	n/a	n/a	n/a	n/a
2020.90869140625	0.18212890625	artefact	n/a	all	all	2021.0908203125	4138821	4139194	n/a	n/a	n/a	n/a	n/a	n/a
2197.6611328125	0.26416015625	artefact	n/a	all	all	2197.92529296875	4500810	4501351	n/a	n/a	n/a	n/a	n/a	n/a
2203.20654296875	2.91162109375	artefact	n/a	all	all	2206.1181640625	4512167	4518130	n/a	n/a	n/a	n/a	n/a	n/a
10.5126953125	1920.01318359375	stimulation	SPESclin	all	all	1930.52587890625	21530	3953717	n/a	n/a	n/a	n/a	n/a	n/a
11.984375	0.001	electrical_stimulation	SPESclin	n/a	n/a	11.985375	24544	24546.048	monophasic	AR1-AR2	0.001	0.2	0.001	n/a
16.984375	0.001	electrical_stimulation	SPESclin	n/a	n/a	16.985375	34784	34786.048	monophasic	AR1-AR2	0.001	0.2	0.001	n/a
21.984375	0.001	electrical_stimulation	SPESclin	n/a	n/a	21.985375	45024	45026.048	monophasic	AR1-AR2	0.001	0.2	0.001	n/a
26.984375	0.001	electrical_stimulation	SPESclin	n/a	n/a	26.985375	55264	55266.048	monophasic	AR1-AR2	0.001	0.2	0.001	n/a
31.984375	0.001	electrical_stimulation	SPESclin	n/a	n/a	31.985375	65504	65506.048	monophasic	AR1-AR2	0.001	0.2	0.001	n/a
37.72607421875	0.001	electrical_stimulation	SPESclin	n/a	n/a	37.72707421875	77263	77265.048	monophasic	AR2-AR1	0.001	0.2	0.001	n/a
42.72607421875	0.001	electrical_stimulation	SPESclin	n/a	n/a	42.72707421875	87503	87505.048	monophasic	AR2-AR1	0.001	0.2	0.001	n/a
47.72607421875	0.001	electrical_stimulation	SPESclin	n/a	n/a	47.72707421875	97743	97745.048	monophasic	AR2-AR1	0.001	0.2	0.001	n/a
52.72607421875	0.001	electrical_stimulation	SPESclin	n/a	n/a	52.72707421875	107983	107985.048	monophasic	AR2-AR1	0.001	0.2	0.001	n/a
57.72607421875	0.001	electrical_stimulation	SPESclin	n/a	n/a	57.72707421875	118223	118225.048	monophasic	AR2-AR1	0.001	0.2	0.001	n/a
69.43603515625	0.001	electrical_stimulation	SPESclin	n/a	n/a	69.43703515625	142205	142207.048	monophasic	AR2-AR3	0.001	0.2	0.001	n/a
74.43603515625	0.001	electrical_stimulation	SPESclin	n/a	n/a	74.43703515625	152445	152447.048	monophasic	AR2-AR3	0.001	0.2	0.001	n/a
79.43603515625	0.001	electrical_stimulation	SPESclin	n/a	n/a	79.43703515625	162685	162687.048	monophasic	AR2-AR3	0.001	0.2	0.001	n/a
84.43603515625	0.001	electrical_stimulation	SPESclin	n/a	n/a	84.43703515625	172925	172927.048	monophasic	AR2-AR3	0.001	0.2	0.001	n/a
89.43603515625	0.001	electrical_stimulation	SPESclin	n/a	n/a	89.43703515625	183165	183167.048	monophasic	AR2-AR3	0.001	0.2	0.001	n/a
95.2236328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	95.2246328125	195018	195020.048	monophasic	AR3-AR2	0.001	0.2	0.001	n/a
100.2236328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	100.2246328125	205258	205260.048	monophasic	AR3-AR2	0.001	0.2	0.001	n/a
105.2236328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	105.2246328125	215498	215500.048	monophasic	AR3-AR2	0.001	0.2	0.001	n/a
110.2236328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	110.2246328125	225738	225740.048	monophasic	AR3-AR2	0.001	0.2	0.001	n/a
115.2236328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	115.2246328125	235978	235980.048	monophasic	AR3-AR2	0.001	0.2	0.001	n/a
127.19775390625	0.001	electrical_stimulation	SPESclin	n/a	n/a	127.19875390625	260501	260503.048	monophasic	AR3-AR4	0.001	0.2	0.001	n/a
