onset	duration	trial_type	sub_type	electrodes_involved_onset	electrodes_involved_offset	offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	electrical_stimulation_frequency	electrical_stimulation_pulsewidth	notes
4.5947265625	0.4130859375	artefact	n/a	all	all	5.0078125	9410	10256	n/a	n/a	n/a	n/a	n/a	n/a
12.1982421875	1.07421875	artefact	n/a	all	all	13.2724609375	24982	27182	n/a	n/a	n/a	n/a	n/a	n/a
22.6279296875	1.02490234375	artefact	n/a	all	all	23.65283203125	46342	48441	n/a	n/a	n/a	n/a	n/a	n/a
34.5947265625	0.14892578125	artefact	n/a	all	all	34.74365234375	70850	71155	n/a	n/a	n/a	n/a	n/a	n/a
35.71875	0.9833984375	artefact	n/a	all	all	36.7021484375	73152	75166	n/a	n/a	n/a	n/a	n/a	n/a
59.859375	0.66943359375	artefact	n/a	all	all	60.52880859375	122592	123963	n/a	n/a	n/a	n/a	n/a	n/a
64.36328125	0.21484375	artefact	n/a	all	all	64.578125	131816	132256	n/a	n/a	n/a	n/a	n/a	n/a
85.1650390625	0.603515625	artefact	n/a	all	all	85.7685546875	174418	175654	n/a	n/a	n/a	n/a	n/a	n/a
94.1982421875	0.21484375	artefact	n/a	all	all	94.4130859375	192918	193358	n/a	n/a	n/a	n/a	n/a	n/a
124.03271484375	0.1982421875	artefact	n/a	all	all	124.23095703125	254019	254425	n/a	n/a	n/a	n/a	n/a	n/a
143.95849609375	11	artefact	n/a	all	all	154.95849609375	294827	317355	n/a	n/a	n/a	n/a	n/a	n/a
158.65283203125	1.537109375	artefact	n/a	all	all	160.18994140625	324921	328069	n/a	n/a	n/a	n/a	n/a	n/a
163.38818359375	0.966796875	artefact	n/a	all	all	164.35498046875	334619	336599	n/a	n/a	n/a	n/a	n/a	n/a
169.44580078125	0.2978515625	artefact	n/a	all	all	169.74365234375	347025	347635	n/a	n/a	n/a	n/a	n/a	n/a
178.1318359375	0.6611328125	artefact	n/a	all	all	178.79296875	364814	366168	n/a	n/a	n/a	n/a	n/a	n/a
183.578125	0.421875	artefact	n/a	all	all	184	375968	376832	n/a	n/a	n/a	n/a	n/a	n/a
200.21484375	0.83447265625	artefact	n/a	all	all	201.04931640625	410040	411749	n/a	n/a	n/a	n/a	n/a	n/a
213.5537109375	0.18994140625	artefact	n/a	all	all	213.74365234375	437358	437747	n/a	n/a	n/a	n/a	n/a	n/a
221.97509765625	0.71044921875	artefact	n/a	all	all	222.685546875	454605	456060	n/a	n/a	n/a	n/a	n/a	n/a
243.33056640625	0.15673828125	artefact	n/a	all	all	243.4873046875	498341	498662	n/a	n/a	n/a	n/a	n/a	n/a
273.17333984375	0.28076171875	artefact	n/a	all	all	273.4541015625	559459	560034	n/a	n/a	n/a	n/a	n/a	n/a
302.966796875	0.29736328125	artefact	n/a	all	all	303.26416015625	620476	621085	n/a	n/a	n/a	n/a	n/a	n/a
328.5537109375	0.4873046875	artefact	n/a	all	all	329.041015625	672878	673876	n/a	n/a	n/a	n/a	n/a	n/a
332.4130859375	0.93359375	artefact	n/a	all	all	333.3466796875	680782	682694	n/a	n/a	n/a	n/a	n/a	n/a
362.6611328125	0.2724609375	artefact	n/a	all	all	362.93359375	742730	743288	n/a	n/a	n/a	n/a	n/a	n/a
377.71044921875	0.9091796875	artefact	n/a	all	all	378.61962890625	773551	775413	n/a	n/a	n/a	n/a	n/a	n/a
392.4873046875	0.23974609375	artefact	n/a	all	all	392.72705078125	803814	804305	n/a	n/a	n/a	n/a	n/a	n/a
422.31396484375	0.181640625	artefact	n/a	all	all	422.49560546875	864899	865271	n/a	n/a	n/a	n/a	n/a	n/a
430.46240234375	0.64501953125	artefact	n/a	all	all	431.107421875	881587	882908	n/a	n/a	n/a	n/a	n/a	n/a
452.14013671875	0.173828125	artefact	n/a	all	all	452.31396484375	925983	926339	n/a	n/a	n/a	n/a	n/a	n/a
481.89208984375	0.23974609375	artefact	n/a	all	all	482.1318359375	986915	987406	n/a	n/a	n/a	n/a	n/a	n/a
488.2392578125	5.958984375	artefact	n/a	all	all	494.1982421875	999914	1012118	n/a	n/a	n/a	n/a	n/a	n/a
511.80126953125	0.22314453125	artefact	n/a	all	all	512.0244140625	1048169	1048626	n/a	n/a	n/a	n/a	n/a	n/a
519.2724609375	0.1982421875	artefact	n/a	all	all	519.470703125	1063470	1063876	n/a	n/a	n/a	n/a	n/a	n/a
541.69384765625	0.173828125	artefact	n/a	all	all	541.86767578125	1109389	1109745	n/a	n/a	n/a	n/a	n/a	n/a
571.33056640625	0.37158203125	artefact	n/a	all	all	571.7021484375	1170085	1170846	n/a	n/a	n/a	n/a	n/a	n/a
601.23095703125	0.27294921875	artefact	n/a	all	all	601.50390625	1231321	1231880	n/a	n/a	n/a	n/a	n/a	n/a
617.33056640625	0.7353515625	artefact	n/a	all	all	618.06591796875	1264293	1265799	n/a	n/a	n/a	n/a	n/a	n/a
631.115234375	0.2646484375	artefact	n/a	all	all	631.3798828125	1292524	1293066	n/a	n/a	n/a	n/a	n/a	n/a
644.5615234375	0.314453125	artefact	n/a	all	all	644.8759765625	1320062	1320706	n/a	n/a	n/a	n/a	n/a	n/a
660.8759765625	0.29736328125	artefact	n/a	all	all	661.17333984375	1353474	1354083	n/a	n/a	n/a	n/a	n/a	n/a
683.0078125	0.28125	artefact	n/a	all	all	683.2890625	1398800	1399376	n/a	n/a	n/a	n/a	n/a	n/a
690.685546875	0.35546875	artefact	n/a	all	all	691.041015625	1414524	1415252	n/a	n/a	n/a	n/a	n/a	n/a
720.52880859375	0.28076171875	artefact	n/a	all	all	720.8095703125	1475643	1476218	n/a	n/a	n/a	n/a	n/a	n/a
750.42138671875	0.31396484375	artefact	n/a	all	all	750.7353515625	1536863	1537506	n/a	n/a	n/a	n/a	n/a	n/a
780.1484375	0.3388671875	artefact	n/a	all	all	780.4873046875	1597744	1598438	n/a	n/a	n/a	n/a	n/a	n/a
799.50390625	0.6279296875	artefact	n/a	all	all	800.1318359375	1637384	1638670	n/a	n/a	n/a	n/a	n/a	n/a
810.115234375	0.23974609375	artefact	n/a	all	all	810.35498046875	1659116	1659607	n/a	n/a	n/a	n/a	n/a	n/a
839.94189453125	0.17333984375	artefact	n/a	all	all	840.115234375	1720201	1720556	n/a	n/a	n/a	n/a	n/a	n/a
863.181640625	0.43798828125	artefact	n/a	all	all	863.61962890625	1767796	1768693	n/a	n/a	n/a	n/a	n/a	n/a
869.7685546875	0.21484375	artefact	n/a	all	all	869.9833984375	1781286	1781726	n/a	n/a	n/a	n/a	n/a	n/a
899.50390625	0.22314453125	artefact	n/a	all	all	899.72705078125	1842184	1842641	n/a	n/a	n/a	n/a	n/a	n/a
929.396484375	0.25634765625	artefact	n/a	all	all	929.65283203125	1903404	1903929	n/a	n/a	n/a	n/a	n/a	n/a
959.28076171875	0.14892578125	artefact	n/a	all	all	959.4296875	1964607	1964912	n/a	n/a	n/a	n/a	n/a	n/a
989.0576171875	0.21484375	artefact	n/a	all	all	989.2724609375	2025590	2026030	n/a	n/a	n/a	n/a	n/a	n/a
1073.8427734375	0.14892578125	artefact	n/a	all	all	1073.99169921875	2199230	2199535	n/a	n/a	n/a	n/a	n/a	n/a
1090.51220703125	0.462890625	artefact	n/a	all	all	1090.97509765625	2233369	2234317	n/a	n/a	n/a	n/a	n/a	n/a
1136.99169921875	0.1484375	artefact	n/a	all	all	1137.14013671875	2328559	2328863	n/a	n/a	n/a	n/a	n/a	n/a
1156.93359375	0.23974609375	artefact	n/a	all	all	1157.17333984375	2369400	2369891	n/a	n/a	n/a	n/a	n/a	n/a
1179.43798828125	0.52880859375	artefact	n/a	all	all	1179.966796875	2415489	2416572	n/a	n/a	n/a	n/a	n/a	n/a
1184.61962890625	33.2314453125	artefact	n/a	all	all	1217.85107421875	2426101	2494159	n/a	n/a	n/a	n/a	n/a	n/a
1258.9833984375	21.3388671875	artefact	n/a	all	all	1280.322265625	2578398	2622100	n/a	n/a	n/a	n/a	n/a	n/a
1294.40478515625	630.71044921875	artefact	n/a	all	all	1925.115234375	2650941	3942636	n/a	n/a	n/a	n/a	n/a	n/a
1950.33056640625	42.95849609375	artefact	n/a	all	all	1993.2890625	3994277	4082256	n/a	n/a	n/a	n/a	n/a	n/a
2971.65283203125	10.76025390625	seizure	subclin	F11,F12,F13,F14,F15,F16,F18,F19,F20,F21,F22,F23,F25,F26,F27,F28,F29,F30,T04	T03,T04	2982.4130859375	6085945	6107982	n/a	n/a	n/a	n/a	n/a	n/a
3369.365234375	4.9814453125	seizure	subclin	F11,F12,F13,F14,F15,F16,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30	F05,F06,F14,F15,F21,F22,F23,F24	3374.3466796875	6900460	6910662	n/a	n/a	n/a	n/a	n/a	n/a
3583.0478515625	10.58837890625	seizure	subclin	F18,F21,F28,F29,T04	T03,T04	3593.63623046875	7338082	7359767	n/a	n/a	n/a	n/a	n/a	n/a
2064.0791015625	1533.41650390625	stimulation	SPESclin	all	all	3597.49560546875	4227234	7367671	n/a	n/a	n/a	n/a	n/a	n/a
2169.5615234375	369.68310546875	sleep-wake transition	unknown	all	all	2539.24462890625	4443262	5200373	n/a	n/a	n/a	n/a	n/a	n/a
2540.78076171875	1056.1103515625	sleep	unknown	all	all	3596.89111328125	5203519	7366433	n/a	n/a	n/a	n/a	n/a	n/a
