name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description
AR1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AR2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AR3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AR4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AR5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AR6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AR7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AR8	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	noisy (visual assessment)
AR9	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	noisy (visual assessment)
AR10	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
AHR1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHR2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHR3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHR4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHR5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHR6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHR7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHR8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AHR9	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
AHR10	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
PHR1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHR2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHR3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHR4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHR5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHR6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHR7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHR8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
PHR9	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
PHR10	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
pA31+	OTHER	µV	468	0.15	pA31-	other	2048	n/a	bad	not recording
pA32+	OTHER	µV	468	0.15	pA32-	other	2048	n/a	bad	not recording
AIR1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIR2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIR3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIR4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIR5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIR6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIR7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIR8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIR9	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIR10	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
IPR1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
IPR2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
IPR3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
IPR4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
IPR5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
IPR6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
IPR7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
IPR8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
IPR9	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
IPR10	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TLR1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TLR2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TLR3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TLR4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TLR5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TLR6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TLR7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TLR8	SEEG	µV	468	0.15	G2	depth	2048	n/a	bad	electrode in screw
elb61	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
elb62	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
elb63	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
elb64	OTHER	µV	468	0.15	G2	other	2048	n/a	bad	not recording
MKR1+	TRIG	µV	468	0.15	MKR1-	other	2048	n/a	good	not included
ALR1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ALR2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ALR3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ALR4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ALR5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ALR6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
OPR1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
