onset	duration	trial_type	sub_type	electrodes_involved_onset	electrodes_involved_offset	offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	electrical_stimulation_frequency	electrical_stimulation_pulsewidth	notes
423.27587890625	1.2578125	artefact	n/a	all	all	424.53369140625	866869	869445	n/a	n/a	n/a	n/a	n/a	n/a
661.0419921875	0.8857421875	artefact	n/a	all	all	661.927734375	1353814	1355628	n/a	n/a	n/a	n/a	n/a	n/a
679.01220703125	0.72021484375	artefact	n/a	all	all	679.732421875	1390617	1392092	n/a	n/a	n/a	n/a	n/a	n/a
790.33349609375	4.45166015625	artefact	n/a	all	all	794.78515625	1618603	1627720	n/a	n/a	n/a	n/a	n/a	n/a
877.41650390625	1.919921875	artefact	n/a	all	all	879.33642578125	1796949	1800881	n/a	n/a	n/a	n/a	n/a	n/a
885.00048828125	0.6201171875	artefact	n/a	all	all	885.62060546875	1812481	1813751	n/a	n/a	n/a	n/a	n/a	n/a
931.3271484375	0.95166015625	artefact	n/a	all	all	932.27880859375	1907358	1909307	n/a	n/a	n/a	n/a	n/a	n/a
962.82470703125	0.2568359375	artefact	n/a	all	all	963.08154296875	1971865	1972391	n/a	n/a	n/a	n/a	n/a	n/a
1044.12939453125	0.14892578125	artefact	n/a	all	all	1044.2783203125	2138377	2138682	n/a	n/a	n/a	n/a	n/a	n/a
1096.8369140625	0.3310546875	artefact	n/a	all	all	1097.16796875	2246322	2247000	n/a	n/a	n/a	n/a	n/a	n/a
1159.23974609375	0.140625	artefact	n/a	all	all	1159.38037109375	2374123	2374411	n/a	n/a	n/a	n/a	n/a	n/a
1260.68701171875	0.51318359375	artefact	n/a	all	all	1261.2001953125	2581887	2582938	n/a	n/a	n/a	n/a	n/a	n/a
1819.11962890625	0.5458984375	artefact	n/a	all	all	1819.66552734375	3725557	3726675	n/a	n/a	n/a	n/a	n/a	n/a
1836.42041015625	0.2734375	artefact	n/a	all	all	1836.69384765625	3760989	3761549	n/a	n/a	n/a	n/a	n/a	n/a
1924.43408203125	0.3056640625	artefact	n/a	all	all	1924.73974609375	3941241	3941867	n/a	n/a	n/a	n/a	n/a	n/a
2121.724609375	0.5791015625	artefact	n/a	all	all	2122.3037109375	4345292	4346478	n/a	n/a	n/a	n/a	n/a	n/a
2246.16748046875	0.33935546875	artefact	n/a	all	all	2246.5068359375	4600151	4600846	n/a	n/a	n/a	n/a	n/a	n/a
2248.0205078125	0.60400390625	artefact	n/a	all	all	2248.62451171875	4603946	4605183	n/a	n/a	n/a	n/a	n/a	n/a
2269.796875	1.5302734375	artefact	n/a	all	all	2271.3271484375	4648544	4651678	n/a	n/a	n/a	n/a	n/a	n/a
2303.17236328125	0.2978515625	artefact	n/a	all	all	2303.47021484375	4716897	4717507	n/a	n/a	n/a	n/a	n/a	n/a
2331.27783203125	3.314453125	artefact	n/a	all	all	2334.59228515625	4774457	4781245	n/a	n/a	n/a	n/a	n/a	n/a
2339.92041015625	1.00927734375	artefact	n/a	all	all	2340.9296875	4792157	4794224	n/a	n/a	n/a	n/a	n/a	n/a
2553.72607421875	0.21533203125	artefact	n/a	all	all	2553.94140625	5230031	5230472	n/a	n/a	n/a	n/a	n/a	n/a
19.78271484375	2535.876953125	stimulation	SPESclin	all	all	2555.65966796875	40515	5233991	n/a	n/a	n/a	n/a	n/a	n/a
20.3271484375	0.001	electrical_stimulation	SPESclin	n/a	n/a	20.3281484375	41630	41632.048	monophasic	ACL4-ACL5	0.002	0.2	0.001	n/a
25.32666015625	0.001	electrical_stimulation	SPESclin	n/a	n/a	25.32766015625	51869	51871.048	monophasic	ACL4-ACL5	0.002	0.2	0.001	n/a
30.326171875	0.001	electrical_stimulation	SPESclin	n/a	n/a	30.327171875	62108	62110.048	monophasic	ACL4-ACL5	0.002	0.2	0.001	n/a
35.32568359375	0.001	electrical_stimulation	SPESclin	n/a	n/a	35.32668359375	72347	72349.048	monophasic	ACL4-ACL5	0.002	0.2	0.001	n/a
40.3251953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	40.3261953125	82586	82588.048	monophasic	ACL4-ACL5	0.002	0.2	0.001	n/a
45.9326171875	0.001	electrical_stimulation	SPESclin	n/a	n/a	45.9336171875	94070	94072.048	monophasic	ACL5-ACL4	0.002	0.2	0.001	n/a
50.9326171875	0.001	electrical_stimulation	SPESclin	n/a	n/a	50.9336171875	104310	104312.048	monophasic	ACL5-ACL4	0.002	0.2	0.001	n/a
55.93212890625	0.001	electrical_stimulation	SPESclin	n/a	n/a	55.93312890625	114549	114551.048	monophasic	ACL5-ACL4	0.002	0.2	0.001	n/a
60.931640625	0.001	electrical_stimulation	SPESclin	n/a	n/a	60.932640625	124788	124790.048	monophasic	ACL5-ACL4	0.002	0.2	0.001	n/a
65.93115234375	0.001	electrical_stimulation	SPESclin	n/a	n/a	65.93215234375	135027	135029.048	monophasic	ACL5-ACL4	0.002	0.2	0.001	n/a
77.64892578125	0.001	electrical_stimulation	SPESclin	n/a	n/a	77.64992578125	159025	159027.048	monophasic	ACL5-ACL6	0.002	0.2	0.001	n/a
82.6484375	0.001	electrical_stimulation	SPESclin	n/a	n/a	82.6494375	169264	169266.048	monophasic	ACL5-ACL6	0.002	0.2	0.001	n/a
87.64794921875	0.001	electrical_stimulation	SPESclin	n/a	n/a	87.64894921875	179503	179505.048	monophasic	ACL5-ACL6	0.002	0.2	0.001	n/a
92.6474609375	0.001	electrical_stimulation	SPESclin	n/a	n/a	92.6484609375	189742	189744.048	monophasic	ACL5-ACL6	0.002	0.2	0.001	n/a
97.64697265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	97.64797265625	199981	199983.048	monophasic	ACL5-ACL6	0.002	0.2	0.001	n/a
103.37939453125	0.001	electrical_stimulation	SPESclin	n/a	n/a	103.38039453125	211721	211723.048	monophasic	ACL6-ACL5	0.002	0.2	0.001	n/a
108.37890625	0.001	electrical_stimulation	SPESclin	n/a	n/a	108.37990625	221960	221962.048	monophasic	ACL6-ACL5	0.002	0.2	0.001	n/a
113.37841796875	0.001	electrical_stimulation	SPESclin	n/a	n/a	113.37941796875	232199	232201.048	monophasic	ACL6-ACL5	0.002	0.2	0.001	n/a
118.3779296875	0.001	electrical_stimulation	SPESclin	n/a	n/a	118.3789296875	242438	242440.048	monophasic	ACL6-ACL5	0.002	0.2	0.001	n/a
123.37744140625	0.001	electrical_stimulation	SPESclin	n/a	n/a	123.37844140625	252677	252679.048	monophasic	ACL6-ACL5	0.002	0.2	0.001	n/a
135.1123046875	0.001	electrical_stimulation	SPESclin	n/a	n/a	135.1133046875	276710	276712.048	monophasic	ACL6-ACL7	0.002	0.2	0.001	n/a
140.11181640625	0.001	electrical_stimulation	SPESclin	n/a	n/a	140.11281640625	286949	286951.048	monophasic	ACL6-ACL7	0.002	0.2	0.001	n/a
145.111328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	145.112328125	297188	297190.048	monophasic	ACL6-ACL7	0.002	0.2	0.001	n/a
150.11083984375	0.001	electrical_stimulation	SPESclin	n/a	n/a	150.11183984375	307427	307429.048	monophasic	ACL6-ACL7	0.002	0.2	0.001	n/a
155.11083984375	0.001	electrical_stimulation	SPESclin	n/a	n/a	155.11183984375	317667	317669.048	monophasic	ACL6-ACL7	0.002	0.2	0.001	n/a
160.8603515625	0.001	electrical_stimulation	SPESclin	n/a	n/a	160.8613515625	329442	329444.048	monophasic	ACL7-ACL6	0.002	0.2	0.001	n/a
165.85986328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	165.86086328125	339681	339683.048	monophasic	ACL7-ACL6	0.002	0.2	0.001	n/a
170.859375	0.001	electrical_stimulation	SPESclin	n/a	n/a	170.860375	349920	349922.048	monophasic	ACL7-ACL6	0.002	0.2	0.001	n/a
175.85888671875	0.001	electrical_stimulation	SPESclin	n/a	n/a	175.85988671875	360159	360161.048	monophasic	ACL7-ACL6	0.002	0.2	0.001	n/a
180.8583984375	0.001	electrical_stimulation	SPESclin	n/a	n/a	180.8593984375	370398	370400.048	monophasic	ACL7-ACL6	0.002	0.2	0.001	n/a
192.5986328125	0.001	electrical_stimulation	SPESclin	n/a	n/a	192.5996328125	394442	394444.048	monophasic	ACL7-ACL8	0.002	0.2	0.001	Current is lower than requested
