name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description
ACL1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ACL2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ACL3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ACL4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ACL5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ACL6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ACL7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ACL8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ACL9	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ACL10	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ACL11	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ACL12	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GRL1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GRL2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GRL3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GRL4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GRL5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GRL6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GRL7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GRL8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GRL9	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GRL10	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GRL11	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
GRL12	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
ecg1+	ECG	µV	468	0.15	ecg1-	other	2048	n/a	good	not included
ah1+	OTHER	µV	468	0.15	ah1-	other	2048	n/a	bad	not recording
orb1+	EOG	µV	468	0.15	orb1-	other	2048	n/a	good	not included
TAL1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TAL2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TAL3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TAL4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
TAL5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FOL1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FOL2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FOL3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FOL4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FOL5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FOL6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FOL7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FOL8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FOL9	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FOL10	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FOL11	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
FOL12	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
OL1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
OL2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
OL3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
OL4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
OL5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
OL6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
OL7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
