name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	notch	status	status_description
AIL1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIL2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIL3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIL4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIL5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIL6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIL7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIL8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIL9	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIL10	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIL11	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIL12	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIL13	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIL14	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
AIL15	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MIL1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MIL2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MIL3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MIL4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MIL5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MIL6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MIL7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MIL8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MIL9	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MIL10	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MIL11	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MIL12	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MIL13	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MIL14	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MIL15	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MFL1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MFL2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MFL3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MFL4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MFL5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MFL6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MFL7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MFL8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MFL9	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MFL10	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MFL11	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MFL12	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MFL13	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MFL14	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MFL15	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MBL1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MBL2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MBL3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MBL4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MBL5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MBL6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MBL7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MBL8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MBL9	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MBL10	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MBL11	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MBL12	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MBL13	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MBL14	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MBL15	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
MKR1+	TRIG	µV	468	0.15	MKR1-	other	2048	n/a	good	not included
LBL1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
LBL2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
LBL3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
LBL4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
LBL5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
LBL6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
LBL7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
LBL8	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
LBL9	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
LBL10	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
LBL11	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
LBL12	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
LBL13	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
LBL14	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
LBL15	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
CML1	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
CML2	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
CML3	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
CML4	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
CML5	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
CML6	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
CML7	SEEG	µV	468	0.15	G2	depth	2048	n/a	good	included
